word	coef	occ_gemini	occ_human
parts	-1.0944435120499616	290	31
solve	-1.0539059476374613	419	228
line	-0.8684085983700333	681	405
rows	-0.7825564605498214	251	35
result	-0.7706783947722926	214	49
input	-0.7182129841058423	357	517
connections	-0.7152092014845778	80	23
history	-0.6891380830295465	44	0
direction	-0.6884819665199912	241	63
append	-0.6838268082476184	451	381
secret	-0.6692016330417018	71	46
ny	-0.6687619551390914	59	64
cols	-0.663702025014544	222	24
elif	-0.6629016229909405	339	161
total_sum	-0.6599385573940989	44	0
module_name	-0.614636272939534	59	0
computers	-0.5814433656668484	27	0
count	-0.5748458069191702	366	167
char	-0.5705357246425518	187	92
except	-0.5678029396063952	49	4
visited	-0.5623070672306223	226	78
schematic	-0.551044231456878	61	10
try	-0.5463889479343769	48	9
txt	-0.5442786435025748	140	50
break	-0.5433417252435607	181	101
component	-0.5284789111293757	97	7
grid_size	-0.5178450310111029	11	0
current_value	-0.5120257721300937	25	0
card	-0.5034069888731757	75	47
hailstones	-0.49662262957461484	30	7
lines	-0.4940250355986355	243	162
connection	-0.49190969811097934	102	24
safe_count	-0.4785951356819866	12	0
registers	-0.4754646452133391	49	16
platform	-0.4731376890793049	92	0
if	-0.46957070251425603	1712	1730
strip	-0.4670509041959623	269	189
main	-0.45973787331315974	102	84
grid	-0.4596494771591335	536	397
keypad_char	-0.4524664784919151	24	0
new_robot	-0.4522228492071936	66	0
true	-0.44512782164693104	0	5
nc	-0.43379666318332033	381	177
hold_time	-0.430115588572557	14	0
current_pos	-0.4296443855170488	41	0
other_start	-0.42639033284034866	23	0
opcode	-0.4236842896771467	45	3
checksum	-0.42250399829986324	23	3
possible	-0.42148566634488177	93	26
float	-0.4198309818618601	56	6
queue	-0.41755960235733647	138	98
quadrant_counts	-0.41713153198515995	30	0
file	-0.40996051041636233	125	197
universe	-0.4090694936679018	113	0
settled_bricks	-0.40685394072642805	24	0
expanded_universe	-0.40562329970923927	67	0
nr	-0.39740368537680504	165	12
matches	-0.39514782812465704	18	0
end_coords	-0.3937282869109718	27	0
inf	-0.38902253359191613	66	59
design	-0.38439450496043187	47	18
total_complexity	-0.38209371088975347	15	0
memory	-0.38153686907596523	26	21
subset	-0.378913131194799	34	0
bfs	-0.37767172189721565	35	3
current_workflow	-0.3761804434255098	31	0
target_pos	-0.37533357379671806	11	0
disk_map	-0.3745554031828148	20	3
c1	-0.37077831874988426	45	49
start_coords	-0.36888525218998125	28	0
new_col	-0.367775553039984	56	0
current_arrangement	-0.36631111703725305	28	0
apply_map	-0.3637532626127766	40	0
int	-0.36356829489661585	688	1083
left_list	-0.36351240028889237	36	0
right_list	-0.36351240028889237	36	0
final_map	-0.36051133671289504	13	0
mul_instructions	-0.35851575645824324	6	0
file_blocks	-0.35190934396766926	16	0
stone	-0.34309627059405146	106	80
machines	-0.3428761584998089	36	12
neighbors	-0.3428504967116021	164	25
is_part_number	-0.3427721934885928	17	0
maps	-0.3404924670027999	51	9
update_nums	-0.33800956293900597	10	0
counts_values	-0.33655440715393886	22	0
new_robot_row	-0.33445831694604655	34	0
left_half	-0.33074851339321787	10	0
right_half	-0.33074851339321787	10	0
disk_repr_list	-0.3301154344540867	8	0
map_data	-0.32966523964578437	29	0
new_robot_col	-0.32761336965645194	34	0
eoferror	-0.3271979074317404	0	0
pulse_type	-0.32392178341512334	37	0
expression	-0.32131863313769815	24	0
diff_seq	-0.3200517257888704	16	4
file_lengths	-0.31804412314769615	8	0
file_index	-0.3179048346731987	14	4
61	-0.3162810083889688	42	14
current_node	-0.3140287139019177	25	0
memory_space_size	-0.311912491384108	7	0
29	-0.3097417397589038	53	20
game_id	-0.3075426381545207	19	0
instruction_pointer	-0.3064188308279635	26	0
new_row	-0.2990533172146662	68	7
steps	-0.29756507414121697	78	103
readlines	-0.2974497876039397	27	0
disk_blocks	-0.2970038003172063	11	0
total_hash_sum	-0.2965110688475416	12	0
instruction	-0.29037792528652473	80	124
match	-0.288733492461291	86	82
condition	-0.28786597884229115	38	4
wire_values	-0.28691374773523287	18	0
distance	-0.283470824881193	114	25
current_group_size	-0.2819091263331379	18	0
return	-0.28162503900052005	654	940
__main__	-0.2798966664646455	68	75
parse_schematic	-0.2784974936895067	14	2
leftmost_free	-0.2773164128560731	10	0
total_points	-0.27706922558404445	18	0
97	-0.2766746142682931	36	10
possible_count	-0.2756912570808231	9	0
53	-0.2744238178269081	39	15
__name__	-0.2742249913450627	68	76
temp_box	-0.2734370716136521	22	0
new_stones	-0.27329588762340756	24	9
report	-0.27298907622069224	50	31
other_end	-0.27223275874417874	20	0
r1	-0.27190469780403875	46	14
range	-0.27056666761747605	498	580
travel_time	-0.26764016096718124	9	0
machine	-0.2670978959508546	53	25
rules_str	-0.2657444471111053	20	2
ops	-0.26385025786999244	48	20
row	-0.2617469682873954	836	380
levels	-0.26039392888090673	23	22
subsets	-0.2596738789026183	20	0
destination	-0.25884401303677484	46	4
new_platform	-0.258750086926473	24	0
is_decreasing	-0.25788281147743164	8	0
is_increasing	-0.25788281147743164	8	0
robot_row	-0.25708114561118706	63	0
positions	-0.25697310646923377	34	42
none	-0.2560329055781194	0	1
total_distance	-0.2546268281798351	30	0
13	-0.25079351394462845	63	34
word_search	-0.25059837731540535	15	0
robot_col	-0.250466043749755	63	0
temp_wiring	-0.2499375726858155	20	0
new_arr	-0.24847534613828134	10	0
47	-0.24820958257388867	36	13
row_index	-0.24529509656046103	10	0
calibration_values	-0.24502543443869532	12	0
test_value	-0.24386167935237704	25	0
disk_chars	-0.24242118045922523	4	0
numeric_part	-0.24198539251918244	8	0
shortest_path	-0.24162687276990474	32	16
curr_diffs	-0.2412051923742201	9	0
digit	-0.24074456774832986	41	56
current_secret	-0.23943688180095649	9	0
with	-0.2392306359923423	188	148
file_ids	-0.2385330923607722	6	0
curr_pos	-0.2380827046706887	4	0
col_diff	-0.23799718557750194	10	0
row_diff	-0.23799718557750194	10	0
best_cost	-0.2371666653924433	9	0
design_len	-0.2332881169577517	5	0
command	-0.23047893426955082	6	7
process_pulse	-0.22940389567831754	25	0
wiring_diagram	-0.22900554017814914	22	0
memory_size	-0.22861487362781435	4	0
corrupted_coords	-0.228522948490983	6	0
a_count	-0.2258648750768916	16	0
b_count	-0.2258648750768916	16	0
safety_factor	-0.22551978907289447	18	5
computer_connections	-0.225026642476662	10	0
current_id	-0.22468850972509877	7	0
vel	-0.22436661616815642	91	55
brick_key	-0.22384606890805586	5	0
new_brick_pos	-0.22384606890805586	5	0
page1	-0.2227250406706786	11	0
key_height	-0.2216491887908527	20	0
compact_disk	-0.2201971403915296	9	0
stones	-0.21943199396832389	78	45
region_dict	-0.21864630551208095	20	0
divisor	-0.2183593640042302	12	0
tokens	-0.2181340852211904	15	0
wires	-0.2157834427240645	31	39
region_coords	-0.2149386311356128	10	0
current_differences	-0.21450162882247292	16	0
components	-0.21382297651488558	41	7
parse_input	-0.2138018697199663	16	0
valid_sets	-0.2135260833472351	3	0
topographic_map	-0.21338784471943434	12	0
half_len	-0.2130070262092706	6	0
or	-0.21157655550188714	2297	3738
dr	-0.2111629622863979	128	138
found	-0.21099811634535645	31	17
is_correct	-0.2106145776098508	15	0
pass	-0.20995717862179875	19	11
dc	-0.20899944575247534	109	107
calibration_value	-0.2088209645813135	19	7
pos_parts	-0.2084706739679286	14	0
vel_parts	-0.2084706739679286	14	0
matching_numbers	-0.2077536389898508	12	0
val1	-0.20766248931371667	26	0
val2	-0.20766248931371667	26	0
next_value	-0.20689529181211289	25	0
lock_height	-0.2064826234854007	13	0
low	-0.2055868260179929	108	75
heat_loss	-0.20500242064949636	46	0
amount	-0.20498365476371153	5	0
ascii_code	-0.20481030885203746	10	0
hash_algorithm	-0.20481030885203746	10	0
initialization_sequence	-0.20481030885203746	10	0
new_springs	-0.20173112665728601	8	0
51	-0.20171932416666893	19	1
16777216	-0.20020706503637353	15	7
location	-0.20009958045870568	40	33
false	-0.19929013716789587	0	2
input_data	-0.19904030507418796	14	0
safe	-0.19696770422450893	85	47
total_wins	-0.1964527632840243	6	0
winning_numbers	-0.19630100718964175	15	0
your_numbers	-0.19630100718964175	15	0
total_load	-0.1957862593577211	21	0
dfs	-0.1953471438944005	49	8
complexity	-0.19487210057713894	19	3
page2	-0.19417209332303753	11	0
start_col	-0.19397314876709632	42	3
points	-0.19327367661527386	30	28
c3	-0.1930720452422896	9	0
min_x	-0.19190103345781231	11	2
min_y	-0.19190103345781231	11	0
valueerror	-0.19104221703355845	0	0
computer1	-0.19040715901871402	9	0
computer2	-0.19040715901871402	10	0
pin_height	-0.19018542881368777	9	0
input_str	-0.19012929187169902	19	0
workflows	-0.18983324914761343	22	9
region_data	-0.18862289979740748	20	0
total_winning_ways	-0.18380616289641566	6	0
winning_ways	-0.18380616289641566	10	0
source_start	-0.1818766313063883	15	0
next_c	-0.18125264403445562	44	0
next_r	-0.18125264403445562	65	2
colors	-0.1801483553834468	13	0
report_len	-0.17986462852333884	5	0
error	-0.17960107229826744	8	1
total_arrangements	-0.1795777639476424	15	0
key_schematics	-0.1793817382312099	8	0
lock_schematics	-0.1793817382312099	8	0
new_z_pos	-0.1790768551264447	4	0
settled_positions	-0.1790768551264447	4	0
initial_secrets	-0.17836216764774224	10	0
time_distances	-0.17808615403428604	6	0
pins	-0.17792235032827144	14	2
mul	-0.17784815656180533	31	68
step_count	-0.17784687661459656	9	0
invalid	-0.17757698122306992	6	0
reflection_sum	-0.17748222428615365	8	0
saving	-0.1774326211999648	13	0
temp_diagram	-0.17698781757668516	9	0
count_safe_reports	-0.1764409955364337	2	0
volume	-0.1764276173245473	19	0
next_col	-0.17466444376496726	18	0
next_row	-0.17466444376496726	18	0
instruction_index	-0.17396331078977514	17	0
computer_dict	-0.17023860664471496	7	0
differences	-0.16971218572902536	35	8
hand1	-0.16967710371976125	16	0
hand2	-0.16967710371976125	16	0
get_neighbors	-0.1690213009513809	48	2
correct_updates	-0.16846992857317303	12	0
condition_parts	-0.16756597485790742	10	0
next_node	-0.16736393055156762	3	0
total_result	-0.16703476897453293	3	0
safe_reports	-0.1668462639150841	6	3
updates_str	-0.16677410867135156	11	2
stone_str	-0.16648103087912905	5	0
next_pos	-0.16605418719474577	21	11
of	-0.1660498136861206	76	137
perimeter	-0.16583774752340383	38	30
32	-0.16571033023549459	12	14
blink	-0.16557070638863433	12	10
total_score	-0.16457180256952814	12	0
get_path	-0.16451715317167254	4	0
50	-0.16406213787858998	20	13
denominator	-0.1639380930076362	20	0
card_info	-0.1636840977241147	8	0
end_pos	-0.1620104943389212	17	3
numerator	-0.16190178425548143	18	0
item	-0.16142249642682252	48	90
button	-0.16098834351999744	10	29
lock_heights	-0.16090953843068317	5	0
representing	-0.16006198232703228	16	0
total_winnings	-0.15993459976592214	15	0
disk_list	-0.15902206157384807	4	0
symbol_col	-0.15816642367642333	5	0
symbol_row	-0.15816642367642333	5	0
num_str	-0.15806988649531648	10	0
can_make	-0.15698558934921616	5	0
pulses_sent	-0.15691898211986158	14	0
step	-0.15690670448906718	104	136
middle_index	-0.15642069817368112	9	0
matched	-0.15553917489476493	16	0
xmas	-0.15541083987663096	10	18
col_index	-0.15529694625038448	7	0
c2	-0.15477499396092345	38	58
target_code	-0.15420040987056927	7	0
key_heights	-0.15419274818947246	9	0
flip_flops	-0.15308086916278005	13	0
last_rock	-0.15255173945673853	5	0
bytes_to_simulate	-0.15234863232732188	4	0
count_xmas	-0.1513916885452879	10	0
new_positions	-0.1513466550422746	5	0
byte_positions	-0.15070358053689525	7	0
get	-0.15068298298973173	189	289
max_y	-0.14825491557265055	13	25
new_r	-0.14824499772414984	149	16
histories	-0.14799908305054596	16	0
extrapolate_next_value	-0.14779915769111798	10	0
card_value	-0.1472245574511871	14	0
trailheads	-0.14697849869191448	12	2
denom	-0.14693386927363142	26	0
vx1	-0.14693386927363142	7	0
part_numbers	-0.14670899640479182	6	0
current_c	-0.1465903199140519	16	3
current_r	-0.1465903199140519	14	0
keypad_layout	-0.14638412048245894	6	0
new_box_row	-0.14635881141021442	15	0
input_part	-0.14601842743025328	14	0
maze	-0.14590358834944148	12	7
next_robot_col	-0.14566194741198568	15	0
next_robot_row	-0.14566194741198568	15	0
start_r	-0.14552486941445314	71	3
supports	-0.14542468829023553	10	8
curr_coords	-0.1441724192536201	2	0
sorted_hands	-0.14381387661816794	13	0
a_parts	-0.143725331461339	9	0
b_parts	-0.143725331461339	9	0
prize_parts	-0.143725331461339	9	0
curr_c	-0.14332646415060452	16	0
curr_r	-0.14332646415060452	14	0
prize_x	-0.14316105033793644	12	0
prize_y	-0.14316105033793644	12	0
check	-0.1427236883667424	64	38
connected_ab	-0.14235072223149006	2	0
